Date, StartTime, EndTime, Amount, Mileage, Location
Oct-27, 08:51 PM, 09:31 PM, $5.50, 9, Middletown
Oct-28, 12:05 PM, 12:57 PM, $15.25, 22, Middletown
Oct-28, 04:40 PM, 05:52 PM, $18.25, 28, Middletown
Oct-28, 05:52 PM, 06:29 PM, $11.50, 10, Middletown
Oct-30, 10:39 AM, 11:30 AM, $9.50, 12, Middletown
Oct-30, 01:29 PM, 01:50 PM, $6.25, 4, Middletown
Oct-30, 05:10 PM, 06:19 PM, $32.50, 36, Middletown
Oct-30, 06:19 PM, 07:15 PM, $17.75, 20, Middletown
Oct-31, 05:01 PM, 06:46 PM, $25.75, 19, Middletown
Oct-31, 06:48 PM, 07:34 PM, $13.00, 14, Middletown
Nov-01, 06:32 PM, 07:39 PM, $24.00, 26, Middletown
Nov-02, 05:27 PM, 07:25 PM, $45.00, 42, Middletown
Nov-03, 05:45 PM, 07:39 PM, $34.77, 30, Middletown
Nov-03, 09:00 PM, 09:18 PM, $10.50, 6, Middletown
Nov-05, 10:16 AM, 10:34 AM, $6.00, 5, Middletown
Nov-05, 11:26 AM, 12:11 PM, $11.50, 8, Middletown
Nov-05, 05:22 PM, 06:26 PM, $14.75, 16, Middletown
Nov-05, 06:44 PM, 07:18 PM, $9.75, 20, Middletown
Nov-06, 11:53 AM, 01:31 PM, $34.50, 38, Middletown
Nov-06, 01:35 PM, 01:58 PM, $6.75, 4, Middletown
Nov-07, 04:21 PM, 04:59 PM, $9.00, 26, Middletown
Nov-08, 04:50 PM, 05:41 PM, $10.37, 13, Middletown
Nov-08, 05:42 PM, 07:09 PM, $27.00, 20, Middletown
Nov-08, 07:27 PM, 07:44 PM, $7.75, 4, Middletown
Nov-09, 05:02 PM, 07:03 PM, $28.59, 26, Middletown
Nov-09, 07:04 PM, 07:30 PM, $14.25, 8, Middletown
Nov-10, 07:17 AM, 09:12 AM, $28.00, 32, Middletown
Nov-10, 12:17 PM, 12:42 PM, $7.25, 10, Middletown
Nov-10, 12:56 PM, 01:27 PM, $6.50, 8, Middletown
Nov-10, 04:16 PM, 05:01 PM, $5.50, 4, Middletown
Nov-10, 05:30 PM, 07:37 PM, $39.00, 44, Middletown
Nov-11, 11:18 AM, 12:35 PM, $30.25, 28, Middletown
Nov-11, 01:08 PM, 02:05 PM, $11.75, 12, Middletown
Nov-11, 02:06 PM, 02:49 PM, $11.50, 14, Middletown
Nov-12, 05:30 PM, 07:43 PM, $45.75, 52, Middletown
Nov-12, 07:49 PM, 08:18 PM, $10.50, 12, Middletown
Nov-13, 12:47 PM, 01:52 PM, $12.50, 8, Middletown
Nov-13, 05:30 PM, 07:16 PM, $28.75, 22, Middletown
Nov-13, 07:18 PM, 07:36 PM, $6.25, 8, Middletown
Nov-14, 05:17 PM, 07:13 PM, $33.00, 42, Middletown
Nov-15, 05:41 PM, 07:30 PM, $34.00, 38, Middletown
Nov-15, 07:30 PM, 07:54 PM, $12.75, 6, Middletown
Nov-16, 05:25 PM, 06:27 PM, $15.50, 12, Middletown
Nov-16, 06:27 PM, 07:53 PM, $27.50, 24, Middletown
Nov-17, 05:11 PM, 06:22 PM, $32.94, 27, Middletown
Nov-17, 06:39 PM, 07:57 PM, $23.25, 28, Middletown
Nov-18, 05:21 AM, 06:33 AM, $30.00, 24, Middletown
Nov-19, 09:02 AM, 10:05 AM, $16.50, 12, Middletown
Nov-19, 11:51 AM, 01:34 PM, $29.75, 32, Middletown
Nov-19, 05:10 PM, 08:06 PM, $62.50, 57, Middletown
Nov-19, 08:06 PM, 08:26 PM, $6.25, 5, Middletown
Nov-20, 09:08 AM, 10:34 AM, $21.25, 18, Middletown
Nov-21, 05:30 PM, 07:30 PM, $51.24, 35, Middletown
Nov-22, 08:31 PM, 08:54 PM, $5.25, 5, Middletown
Nov-23, 12:40 PM, 01:39 PM, $14.00, 12, Middletown
Nov-23, 02:25 PM, 03:14 PM, $6.00, 4, Middletown
Nov-23, 03:21 PM, 03:40 PM, $7.50, 10, Middletown
Nov-23, 03:50 PM, 04:16 PM, $7.00, 12, Middletown
Nov-23, 05:48 PM, 08:25 PM, $45.00, 62, Middletown
Nov-24, 08:33 AM, 09:31 AM, $19.75, 17, Middletown
Nov-24, 09:32 AM, 10:38 AM, $14.25, 18, Middletown
Nov-24, 12:11 PM, 01:38 PM, $28.25, 30, Middletown
Nov-29, 05:06 PM, 07:56 PM, $59.59, 48, Middletown
Nov-30, 04:22 PM, 07:30 PM, $52.75, 54, Middletown
Dec-01, 05:02 PM, 07:34 PM, $51.25, 48, Middletown
Dec-02, 03:52 PM, 04:51 PM, $20.50, 15, Middletown
Dec-03, 09:18 AM, 10:14 AM, $18.00, 12, Middletown
Dec-03, 11:07 AM, 11:58 AM, $9.25, 6, Middletown
Dec-03, 12:24 PM, 01:15 PM, $20.00, 26, Middletown
Dec-03, 05:02 PM, 07:27 PM, $57.00, 48, Middletown
